sample,cts_total,cts_assembled,cts_unassembled,cts_discarded,pct_assembled,pct_unassembled,pct_discarded
AdultAdrenalGland_1,70546523,40197964,30348559,0,56.981,43.019,0.000
AdultAdrenalGland_2,64521639,42821424,21700215,0,66.368,33.632,0.000
AdultAdrenalGland_3,59797655,30165090,29632565,0,50.445,49.555,0.000
AdultBladder_1,110570912,43688632,66882280,0,39.512,60.488,0.000
AdultBoneMarrow_1,147270607,39341553,107929054,0,26.714,73.286,0.000
AdultBoneMarrow_4,49110512,17165919,31944593,0,34.954,65.046,0.000
AdultBoneMarrow_5,58247059,20281433,37965626,0,34.820,65.180,0.000
AdultBoneMarrowcKit_1,82436033,47515629,34920404,0,57.639,42.361,0.000
AdultBoneMarrowcKit_2,166251631,59485293,106766338,0,35.780,64.220,0.000
AdultBoneMarrowcKit_3,84448014,23334777,61113237,0,27.632,72.368,0.000
AdultBrain_1,105396531,73138339,32258192,0,69.393,30.607,0.000
AdultBrain_2,45116985,11712560,33404425,0,25.960,74.040,0.000
AdultMammaryGlandInvolution_1,52280543,26471745,25808798,0,50.634,49.366,0.000
AdultMammaryGlandInvolution_2,25995326,12560264,13435062,0,48.317,51.683,0.000
AdultOmentum_1,59702304,54798821,4903483,0,91.787,8.213,0.000
AdultOmentum_2,56507169,48979458,7527711,0,86.678,13.322,0.000
AdultOmentum_3,53521437,33549074,19972363,0,62.683,37.317,0.000
AdultPleura_1,69976987,33693284,36283703,0,48.149,51.851,0.000
AdultPleura_2,67121827,37710218,29411609,0,56.182,43.818,0.000
AdultProstate_1,39426956,22361697,17065259,0,56.717,43.283,0.000
AdultProstate_2,41227245,23147882,18079363,0,56.147,43.853,0.000
AdultStomach_1,150550340,34427639,116122701,0,22.868,77.132,0.000
AdultStomach_2,171237949,42453070,128784879,0,24.792,75.208,0.000
FetalBrain_1,115555980,48492004,67063976,0,41.964,58.036,0.000
FetalEmbryonicMesenchyme_1,71985368,27465220,44520148,0,38.154,61.846,0.000
FetalEmbryonicStemCells_1,67335114,39933756,27401358,0,59.306,40.694,0.000
FetalFemaleGonad_1,129536902,67069553,62467349,0,51.776,48.224,0.000
FetalHeart_1,57280935,26701046,30579889,0,46.614,53.386,0.000
FetalHeart_2,141189858,67216237,73973616,5,47.607,52.393,0.000
FetalIntestine_1,120210301,60922574,59287727,0,50.680,49.320,0.000
FetalKidney_1,45263288,21336245,23927043,0,47.138,52.862,0.000
FetalKidney_2,97258580,53149227,44109353,0,54.647,45.353,0.000
FetalLiver_1,66561922,15428240,51133682,0,23.179,76.821,0.000
FetalLung_1,84808702,45887740,38920962,0,54.107,45.893,0.000
FetalMaleGonad_1,51169896,29639844,21530052,0,57.924,42.076,0.000
FetalMaleGonad_2,42860550,20847933,22012617,0,48.641,51.359,0.000
FetalPancreas_1,66176308,34274828,31901480,0,51.793,48.207,0.000
FetalPancreas_2,76697520,47054970,29642550,0,61.351,38.649,0.000
FetalStomach_1,120774684,61361860,59412824,0,50.807,49.193,0.000
FetalStomach_2,151215369,74295517,76919852,0,49.132,50.868,0.000
Kidney_2,96270883,24905431,71365452,0,25.870,74.130,0.000
Liver_1,88735607,41098865,47636742,0,46.316,53.684,0.000
Liver_2,22450365,13581973,8868392,0,60.498,39.502,0.000
Lung_1,115712792,59761006,55951786,0,51.646,48.354,0.000
Lung_2,101930580,31724429,70206151,0,31.124,68.876,0.000
Lung_3,89743937,22837038,66906899,0,25.447,74.553,0.000
MammaryGlandLactation_1,69825654,23989889,45835765,0,34.357,65.643,0.000
MammaryGlandLactation_2,70547004,24934343,45612661,0,35.344,64.656,0.000
MammaryGlandPregnancy_1,126761745,73229871,53531874,0,57.770,42.230,0.000
MammaryGlandVirgin_1,56160854,22232302,33928552,0,39.587,60.413,0.000
MammaryGlandVirgin_2,94369877,40951028,53418849,0,43.394,56.606,0.000
MammaryGlandVirgin_3,25174267,11302605,13871662,0,44.897,55.103,0.000
MammaryGlandVirgin_4,28368631,10850074,17518557,0,38.247,61.753,0.000
MesenchymalStemCells_1,77395525,31010533,46384992,0,40.068,59.932,0.000
MesenchymalStemCellsPrimary_1,71985368,27465220,44520148,0,38.154,61.846,0.000
Muscle_1,46296902,17262198,29034704,0,37.286,62.714,0.000
NeonatalCalvaria_1,61357311,13008877,48348434,0,21.202,78.798,0.000
NeonatalCalvaria_2,62515053,22443693,40071360,0,35.901,64.099,0.000
NeonatalHeart_1,135792852,30933467,104859385,0,22.780,77.220,0.000
NeonatalMuscle_1,60183674,13292732,46890942,0,22.087,77.913,0.000
NeonatalMuscle_2,49240812,22604984,26635828,0,45.907,54.093,0.000
NeonatalPancreas_1,71080004,29482482,41597522,0,41.478,58.522,0.000
NeonatalPancreas_2,266607943,60211434,206396509,0,22.584,77.416,0.000
NeonatalRib_1,54090977,11120015,42970962,0,20.558,79.442,0.000
NeonatalRib_2,90648082,29881197,60766885,0,32.964,67.036,0.000
NeonatalRib_3,60468642,15514742,44953900,0,25.658,74.342,0.000
NeonatalSkin_1,111081286,21602509,89478777,0,19.447,80.553,0.000
NeontalBrain_1,58967481,30609015,28358466,0,51.908,48.092,0.000
NeontalBrain_2,33023805,18429074,14594731,0,55.805,44.195,0.000
NeontalBrain_3,170814913,67230579,103584334,0,39.359,60.641,0.000
Ovary_1,142937940,66167693,76770247,0,46.291,53.709,0.000
Ovary_2,36042395,9292433,26749962,0,25.782,74.218,0.000
Pancreas_1,166549141,64217168,102331973,0,38.557,61.443,0.000
PeripheralBlood_1,47150676,20205829,26944847,0,42.854,57.146,0.000
PeripheralBlood_2,51389209,13853878,37535331,0,26.959,73.041,0.000
PeripheralBlood_3,63471909,12698042,50773867,0,20.006,79.994,0.000
PeripheralBlood_4,25773332,14881684,10891648,0,57.741,42.259,0.000
PeripheralBlood_5,25874031,15305306,10568725,0,59.153,40.847,0.000
PeripheralBlood_6,33919184,16069702,17849482,0,47.376,52.624,0.000
Placenta_1,56049818,14263317,41786501,0,25.448,74.552,0.000
Placenta_2,62233802,28765421,33468381,0,46.222,53.778,0.000
SmallIntestine_1,148398683,48519832,99878851,0,32.696,67.304,0.000
SmallIntestine_2,51588486,27116343,24472143,0,52.563,47.437,0.000
SmallIntestine_3,42936547,21229383,21707164,0,49.444,50.556,0.000
Spleen_1,160603742,39872266,120731476,0,24.826,75.174,0.000
Testis_1,180674565,51804918,128869647,0,28.673,71.327,0.000
Testis_2,92063458,15250033,76813425,0,16.565,83.435,0.000
Thymus_1,180237541,59112222,121125319,0,32.797,67.203,0.000
Uterus_1,137074079,51811114,85262965,0,37.798,62.202,0.000
Uterus_2,55973902,27868326,28105576,0,49.788,50.212,0.000
